Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
ARSEUS ST VVPR (D),BE0005617882,BE0005617882,BRU,RCUSS,4535 Medical Equipment,EUR,0.009,240,80,2009-12-11 15:00,2,"6,000,000","54,000",null,Belgium zone  ,,Call auction,0.009,0.009,2009-12-11 15:00,0.009,2009-12-11 15:00,-81.25,0.14,2019-4-11,0.001,1930-11-11,-79.07,0.14,2019-4-11,0,1930-11-11,-,-,-,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,No,No,-,-
ARTHUR,FR0004166155,FR0004166155,BRU,ART,5371 Apparel Retailers,EUR,1.15,850,-8,2006-7-11 11:30,978,"1,341,304","1,542,500",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,1.15,1.15,2006-7-11 11:30,1.15,2006-7-11 11:30,12.75,1.25,2001-7-11,0.87,2019-4-11,-4.96,1.79,2005-8-10,0.85,2003-11-10,"=LIEN_HYPERTEXTE(""http://www.arthur.eu"";""http://www.arthur.eu"")",-,-,5000 Consumer Services,5300 Retail,5370 General Retailers,Yes,No,Halted,2009-12-11
ASCENCIO (D),BE0003856730,BE0003856730,BRU,ASC,8672 Retail REITs,EUR,47.75,200,-0.25,2009-12-11 11:30,9550,"4,172,875","199,254,781",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Double call auction,47.75,47.75,2009-12-11 11:30,47.75,2009-12-11 11:30,11.05,49.5,2013-6-11,42.05,2011-1-11,12.99,49.5,2013-6-11,42.01,2009-12-10,"=LIEN_HYPERTEXTE(""http://www.ascencio.be"";""http://www.ascencio.be"")",Valéry Autin,+32 (0) 71 91 95 04,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ATENOR GROUP (D),BE0003837540,BE0003837540,BRU,ATEB,8633 Real Estate Holding & Development,EUR,22.55,5620,5.37,2009-12-11 17:35,124198,"5,038,411","113,616,168",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,21.7,22.65,2009-12-11 16:50,21.6,2009-12-11 9:18,-32.77,36,2021-4-11,20.97,2021-11-11,-33.68,36,2021-4-11,20.97,2021-11-11,"=LIEN_HYPERTEXTE(""http://www.atenor.be"";""http://www.atenor.be"")",BENS,00 32 2 387 22 99,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
ATENOR STRIP (D),BE0005602736,BE0005602736,BRU,ATES,8633 Real Estate Holding & Development,EUR,0.2,160,0,2009-12-11 15:00,32,"1,136,485","227,297",null,Belgium zone  ,,Call auction,0.2,0.2,2009-12-11 15:00,0.2,2009-12-11 15:00,-81.82,1.1,2003-1-11,0.033,2002-11-11,-81.65,1.1,2003-1-11,0.03,2002-11-11,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,No,No,-,-
BAN RSWARR 10JUN15,BE0974254832,BE0974254832,BRU,BANW,8633 Real Estate Holding & Development,EUR,0.133,1005,0,2015-11-11 11:33,134,"2,625,000","349,125",null,Belgium zone  ,PEA eligible,Continuous,0.133,0.133,2015-11-11 11:33,0.133,2015-11-11 11:33,-44.58,0.3,2015-6-11,0.133,2009-11-11,-44.58,0.32,2014-12-10,0.13,2009-11-11,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,Halted,2009-12-11
BANIMMO A (D),BE0003870871,BE0003870871,BRU,BANI,8633 Real Estate Holding & Development,EUR,10.25,4993,0.88,2009-12-11 17:35,51567,"10,318,172","105,761,263",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,10.17,10.5,2009-12-11 12:03,10.17,2009-12-11 9:00,-28.07,14.49,2003-1-11,9.7,2024-11-11,-29.31,14.7,2015-12-10,9.7,2024-11-11,"=LIEN_HYPERTEXTE(""http://www.banimmo.be"";""http://www.banimmo.be"")",Cedric De Laet,32 2 710 53 11,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
BANIMMO STRIP (D),BE0005614855,BE0005614855,BRU,BANIS,8633 Real Estate Holding & Development,EUR,0.04,200,-42.86,2007-12-11 15:00,8,"2,703,444","108,138",null,Belgium zone  ,,Call auction,0.04,0.04,2007-12-11 15:00,0.04,2007-12-11 15:00,-20,0.07,2002-12-11,0.001,2001-8-11,-33.33,0.07,2002-12-11,0,2001-8-11,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,No,No,-,-
BARCO,BE0003790079,BE0003790079,BRU,BAR,2737 Electronic Equipment,EUR,34.77,13215,0.17,2009-12-11 17:35,458626,"12,669,955","440,534,335",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,34.17,35.15,2009-12-11 13:43,34.1,2009-12-11 9:00,-27.98,59.8,2012-5-11,31.2,2004-10-11,-24.05,59.8,2012-5-11,31.2,2004-10-11,"=LIEN_HYPERTEXTE(""http://www.barco.com"";""http://www.barco.com"")",JP Tanghe,+32 56 26 23 22,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
BARCO STRIP (D),BE0005583548,BE0005583548,BRU,BARS,2737 Electronic Equipment,EUR,0.06,2220,200,2007-12-11 15:00,133,"2,153,988","129,239",null,Belgium zone  ,,Call auction,0.06,0.06,2007-12-11 15:00,0.06,2007-12-11 15:00,-14.29,0.108,2002-5-11,0.01,2027-10-11,-14.29,0.11,2002-5-11,0.01,2027-10-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,No,No,Halted,2009-12-11
